test_who,song_id,test_order,f1_score,feat,mode
6,1,2,0.7769,acc,rest-to-one
6,1,3,0.8246,acc,rest-to-one
6,1,1,0.8612,acc,all-to-one
6,1,2,0.8409,acc,all-to-one
6,1,3,0.9072,acc,all-to-one
7,1,1,0.8969,acc,one-to-one
7,1,2,0.9095,acc,one-to-one
7,1,3,0.9139,acc,one-to-one
7,1,1,0.8396,acc,rest-to-one
7,1,2,0.874,acc,rest-to-one
7,1,3,0.8691,acc,rest-to-one
7,1,1,0.8925,acc,all-to-one
7,1,2,0.9363,acc,all-to-one
7,1,3,0.9089,acc,all-to-one
8,1,1,0.7922,acc,one-to-one
8,1,2,0.8261,acc,one-to-one
8,1,3,0.8465,acc,one-to-one
8,1,1,0.8009,acc,rest-to-one
8,1,2,0.7944,acc,rest-to-one
8,1,3,0.8206,acc,rest-to-one
8,1,1,0.8128,acc,all-to-one
8,1,2,0.8216,acc,all-to-one
8,1,3,0.8615,acc,all-to-one
1,1,1,0.9477,gyr + near,one-to-one
1,1,2,0.9529,gyr + near,one-to-one
1,1,3,0.9504,gyr + near,one-to-one
1,1,1,0.9508,gyr + near,rest-to-one
1,1,2,0.951,gyr + near,rest-to-one
1,1,3,0.9613,gyr + near,rest-to-one
1,1,1,0.956,gyr + near,all-to-one
1,1,2,0.967,gyr + near,all-to-one
1,1,3,0.9613,gyr + near,all-to-one
2,1,1,0.9558,gyr + near,one-to-one
2,1,2,0.8892,gyr + near,one-to-one
2,1,3,0.956,gyr + near,one-to-one
2,1,1,0.9303,gyr + near,rest-to-one
2,1,2,0.9202,gyr + near,rest-to-one
2,1,3,0.9333,gyr + near,rest-to-one
2,1,1,0.964,gyr + near,all-to-one
2,1,2,0.9375,gyr + near,all-to-one
2,1,3,0.9613,gyr + near,all-to-one
3,1,1,0.9454,gyr + near,one-to-one
3,1,2,0.9808,gyr + near,one-to-one
3,1,3,0.9727,gyr + near,one-to-one
3,1,1,0.9807,gyr + near,rest-to-one
3,1,2,0.9864,gyr + near,rest-to-one
3,1,3,0.9752,gyr + near,rest-to-one
3,1,1,0.9807,gyr + near,all-to-one
3,1,2,0.989,gyr + near,all-to-one
3,1,3,0.9725,gyr + near,all-to-one
4,1,1,0.9459,gyr + near,one-to-one
4,1,2,0.9291,gyr + near,one-to-one
4,1,3,0.9483,gyr + near,one-to-one
4,1,1,0.8656,gyr + near,rest-to-one
4,1,2,0.8889,gyr + near,rest-to-one
4,1,3,0.8761,gyr + near,rest-to-one
4,1,1,0.9338,gyr + near,all-to-one
4,1,2,0.9506,gyr + near,all-to-one
4,1,3,0.9564,gyr + near,all-to-one
5,1,1,0.8896,gyr + near,one-to-one
5,1,2,0.9807,gyr + near,one-to-one
5,1,3,0.9727,gyr + near,one-to-one
5,1,1,0.919,gyr + near,rest-to-one
5,1,2,0.9643,gyr + near,rest-to-one
5,1,3,0.9589,gyr + near,rest-to-one
5,1,1,0.9187,gyr + near,all-to-one
5,1,2,0.9777,gyr + near,all-to-one
5,1,3,0.967,gyr + near,all-to-one
6,1,1,0.9457,gyr + near,one-to-one
6,1,2,0.9862,gyr + near,one-to-one
6,1,3,0.9696,gyr + near,one-to-one
6,1,1,0.9584,gyr + near,rest-to-one
6,1,2,0.9556,gyr + near,rest-to-one
6,1,3,0.9585,gyr + near,rest-to-one
6,1,1,0.9752,gyr + near,all-to-one
6,1,2,0.9752,gyr + near,all-to-one
6,1,3,0.9806,gyr + near,all-to-one
7,1,1,0.9584,gyr + near,one-to-one
7,1,2,0.9802,gyr + near,one-to-one
7,1,3,0.9329,gyr + near,one-to-one
7,1,1,0.9669,gyr + near,rest-to-one
7,1,2,0.9614,gyr + near,rest-to-one
7,1,3,0.9253,gyr + near,rest-to-one
7,1,1,0.9779,gyr + near,all-to-one
7,1,2,0.9806,gyr + near,all-to-one
7,1,3,0.9432,gyr + near,all-to-one
8,1,1,0.9476,gyr + near,one-to-one
8,1,2,0.9236,gyr + near,one-to-one
8,1,3,0.9564,gyr + near,one-to-one
8,1,1,0.9527,gyr + near,rest-to-one
8,1,2,0.934,gyr + near,rest-to-one
8,1,3,0.9618,gyr + near,rest-to-one
8,1,1,0.9581,gyr + near,all-to-one
8,1,2,0.9584,gyr + near,all-to-one
8,1,3,0.9674,gyr + near,all-to-one
1,1,1,0.9229,gyr,one-to-one
1,1,2,0.9151,gyr,one-to-one
1,1,3,0.926,gyr,one-to-one
1,1,1,0.7568,gyr,rest-to-one
1,1,2,0.8071,gyr,rest-to-one
1,1,3,0.8388,gyr,rest-to-one
1,1,1,0.8468,gyr,all-to-one
1,1,2,0.8597,gyr,all-to-one
1,1,3,0.8899,gyr,all-to-one
2,1,1,0.9558,gyr,one-to-one
2,1,2,0.8811,gyr,one-to-one
2,1,3,0.9293,gyr,one-to-one
2,1,1,0.8957,gyr,rest-to-one
2,1,2,0.8188,gyr,rest-to-one
2,1,3,0.8895,gyr,rest-to-one
2,1,1,0.956,gyr,all-to-one
2,1,2,0.8488,gyr,all-to-one
2,1,3,0.922,gyr,all-to-one
3,1,1,0.9212,gyr,one-to-one
3,1,2,0.9535,gyr,one-to-one
3,1,3,0.957,gyr,one-to-one
3,1,1,0.8989,gyr,rest-to-one
3,1,2,0.9321,gyr,rest-to-one
3,1,3,0.8906,gyr,rest-to-one
3,1,1,0.9397,gyr,all-to-one
3,1,2,0.959,gyr,all-to-one
3,1,3,0.926,gyr,all-to-one
4,1,1,0.8954,gyr,one-to-one
4,1,2,0.9266,gyr,one-to-one
4,1,3,0.9512,gyr,one-to-one
4,1,1,0.6295,gyr,rest-to-one
4,1,2,0.6858,gyr,rest-to-one
4,1,3,0.6655,gyr,rest-to-one
4,1,1,0.7379,gyr,all-to-one
4,1,2,0.8603,gyr,all-to-one
4,1,3,0.831,gyr,all-to-one
5,1,1,0.7841,gyr,one-to-one
5,1,2,0.8894,gyr,one-to-one
5,1,3,0.906,gyr,one-to-one
5,1,1,0.7885,gyr,rest-to-one
5,1,2,0.8585,gyr,rest-to-one
5,1,3,0.882,gyr,rest-to-one
5,1,1,0.8146,gyr,all-to-one
5,1,2,0.9115,gyr,all-to-one
5,1,3,0.9305,gyr,all-to-one
6,1,1,0.9139,gyr,one-to-one
6,1,2,0.9589,gyr,one-to-one
6,1,3,0.943,gyr,one-to-one
6,1,1,0.7674,gyr,rest-to-one
6,1,2,0.7939,gyr,rest-to-one
6,1,3,0.8615,gyr,rest-to-one
6,1,1,0.8385,gyr,all-to-one
6,1,2,0.8661,gyr,all-to-one
6,1,3,0.9235,gyr,all-to-one
7,1,1,0.8907,gyr,one-to-one
7,1,2,0.9298,gyr,one-to-one
7,1,3,0.8735,gyr,one-to-one
7,1,1,0.8524,gyr,rest-to-one
7,1,2,0.8141,gyr,rest-to-one
7,1,3,0.8081,gyr,rest-to-one
7,1,1,0.9098,gyr,all-to-one
7,1,2,0.9013,gyr,all-to-one
7,1,3,0.844,gyr,all-to-one
8,1,1,0.8534,gyr,one-to-one
8,1,2,0.8359,gyr,one-to-one
8,1,3,0.89,gyr,one-to-one
8,1,1,0.853,gyr,rest-to-one
8,1,2,0.7994,gyr,rest-to-one
8,1,3,0.8568,gyr,rest-to-one
8,1,1,0.8594,gyr,all-to-one
8,1,2,0.812,gyr,all-to-one
8,1,3,0.8637,gyr,all-to-one
1,2,1,0.8861,acc + gyr + near,one-to-one
1,2,2,0.8334,acc + gyr + near,one-to-one
1,2,3,0.8359,acc + gyr + near,one-to-one
1,2,1,0.8059,acc + gyr + near,rest-to-one
1,2,2,0.8051,acc + gyr + near,rest-to-one
1,2,3,0.8508,acc + gyr + near,rest-to-one
1,2,1,0.8615,acc + gyr + near,all-to-one
1,2,2,0.8263,acc + gyr + near,all-to-one
1,2,3,0.8763,acc + gyr + near,all-to-one
2,2,1,0.9413,acc + gyr + near,one-to-one
2,2,2,0.9607,acc + gyr + near,one-to-one
2,2,3,0.9348,acc + gyr + near,one-to-one
2,2,1,0.9091,acc + gyr + near,rest-to-one
2,2,2,0.9278,acc + gyr + near,rest-to-one
2,2,3,0.8945,acc + gyr + near,rest-to-one
2,2,1,0.935,acc + gyr + near,all-to-one
2,2,2,0.9557,acc + gyr + near,all-to-one
2,2,3,0.9162,acc + gyr + near,all-to-one
3,2,1,0.8865,acc + gyr + near,one-to-one
3,2,2,0.9006,acc + gyr + near,one-to-one
3,2,3,0.8994,acc + gyr + near,one-to-one
3,2,1,0.9017,acc + gyr + near,rest-to-one
3,2,2,0.8821,acc + gyr + near,rest-to-one
3,2,3,0.9014,acc + gyr + near,rest-to-one
3,2,1,0.9002,acc + gyr + near,all-to-one
3,2,2,0.8889,acc + gyr + near,all-to-one
3,2,3,0.9009,acc + gyr + near,all-to-one
4,2,1,0.9233,acc + gyr + near,one-to-one
4,2,2,0.8904,acc + gyr + near,one-to-one
4,2,3,0.8732,acc + gyr + near,one-to-one
4,2,1,0.8053,acc + gyr + near,rest-to-one
4,2,2,0.792,acc + gyr + near,rest-to-one
4,2,3,0.7894,acc + gyr + near,rest-to-one
4,2,1,0.8881,acc + gyr + near,all-to-one
4,2,2,0.8606,acc + gyr + near,all-to-one
4,2,3,0.8381,acc + gyr + near,all-to-one
5,2,1,0.9109,acc + gyr + near,one-to-one
5,2,2,0.9399,acc + gyr + near,one-to-one
5,2,3,0.8827,acc + gyr + near,one-to-one
