train_who,train_porder,train_score,valid_who,valid_porder,valid_score,test_who,test_porder,test_score,multi_error
1,1,243400,4,3,271990,7,1,269500,0.1735
1,1,243400,4,3,271990,7,2,278840,0.1673
1,1,243400,4,3,271990,7,3,274760,0.1882
1,1,243400,4,3,271990,8,1,170430,0.1528
1,1,243400,4,3,271990,8,2,89370,0.2366
1,1,243400,4,3,271990,8,3,142120,0.1693
1,1,243400,5,1,130490,1,1,243400,0.0000
1,1,243400,5,1,130490,1,2,223010,0.0585
1,1,243400,5,1,130490,1,3,181870,0.0669
1,1,243400,5,1,130490,2,1,210550,0.1393
1,1,243400,5,1,130490,2,2,251930,0.1517
1,1,243400,5,1,130490,2,3,223700,0.1748
1,1,243400,5,1,130490,3,1,110320,0.0829
1,1,243400,5,1,130490,3,2,122580,0.0704
1,1,243400,5,1,130490,3,3,112370,0.1017
1,1,243400,5,1,130490,4,1,222600,0.3297
1,1,243400,5,1,130490,4,2,267800,0.2513
1,1,243400,5,1,130490,4,3,271990,0.2234
1,1,243400,5,1,130490,5,1,130490,0.2887
1,1,243400,5,1,130490,5,2,188720,0.3099
1,1,243400,5,1,130490,5,3,185380,0.2557
1,1,243400,5,1,130490,6,1,241880,0.1619
1,1,243400,5,1,130490,6,2,164810,0.2178
1,1,243400,5,1,130490,6,3,266820,0.1784
1,1,243400,5,1,130490,7,1,269500,0.1723
1,1,243400,5,1,130490,7,2,278840,0.1712
1,1,243400,5,1,130490,7,3,274760,0.1948
1,1,243400,5,1,130490,8,1,170430,0.1565
1,1,243400,5,1,130490,8,2,89370,0.2357
1,1,243400,5,1,130490,8,3,142120,0.1558
1,1,243400,5,2,188720,1,1,243400,0.0000
1,1,243400,5,2,188720,1,2,223010,0.0549
1,1,243400,5,2,188720,1,3,181870,0.0755
1,1,243400,5,2,188720,2,1,210550,0.1317
1,1,243400,5,2,188720,2,2,251930,0.1442
1,1,243400,5,2,188720,2,3,223700,0.1570
1,1,243400,5,2,188720,3,1,110320,0.0926
1,1,243400,5,2,188720,3,2,122580,0.0715
1,1,243400,5,2,188720,3,3,112370,0.0990
1,1,243400,5,2,188720,4,1,222600,0.3297
1,1,243400,5,2,188720,4,2,267800,0.2363
1,1,243400,5,2,188720,4,3,271990,0.2287
1,1,243400,5,2,188720,5,1,130490,0.2901
1,1,243400,5,2,188720,5,2,188720,0.2988
1,1,243400,5,2,188720,5,3,185380,0.2610
1,1,243400,5,2,188720,6,1,241880,0.1481
1,1,243400,5,2,188720,6,2,164810,0.2092
1,1,243400,5,2,188720,6,3,266820,0.1706
1,1,243400,5,2,188720,7,1,269500,0.1693
1,1,243400,5,2,188720,7,2,278840,0.1771
1,1,243400,5,2,188720,7,3,274760,0.1896
1,1,243400,5,2,188720,8,1,170430,0.1579
1,1,243400,5,2,188720,8,2,89370,0.2368
1,1,243400,5,2,188720,8,3,142120,0.1708
1,1,243400,5,3,185380,1,1,243400,0.0000
1,1,243400,5,3,185380,1,2,223010,0.0585
1,1,243400,5,3,185380,1,3,181870,0.0669
1,1,243400,5,3,185380,2,1,210550,0.1393
1,1,243400,5,3,185380,2,2,251930,0.1517
1,1,243400,5,3,185380,2,3,223700,0.1748
1,1,243400,5,3,185380,3,1,110320,0.0829
1,1,243400,5,3,185380,3,2,122580,0.0704
1,1,243400,5,3,185380,3,3,112370,0.1017
1,1,243400,5,3,185380,4,1,222600,0.3297
1,1,243400,5,3,185380,4,2,267800,0.2513
1,1,243400,5,3,185380,4,3,271990,0.2234
1,1,243400,5,3,185380,5,1,130490,0.2887
1,1,243400,5,3,185380,5,2,188720,0.3099
1,1,243400,5,3,185380,5,3,185380,0.2557
1,1,243400,5,3,185380,6,1,241880,0.1619
1,1,243400,5,3,185380,6,2,164810,0.2178
1,1,243400,5,3,185380,6,3,266820,0.1784
1,1,243400,5,3,185380,7,1,269500,0.1723
1,1,243400,5,3,185380,7,2,278840,0.1712
1,1,243400,5,3,185380,7,3,274760,0.1948
1,1,243400,5,3,185380,8,1,170430,0.1565
1,1,243400,5,3,185380,8,2,89370,0.2357
1,1,243400,5,3,185380,8,3,142120,0.1558
1,1,243400,6,1,241880,1,1,243400,0.0000
1,1,243400,6,1,241880,1,2,223010,0.0843
1,1,243400,6,1,241880,1,3,181870,0.0981
1,1,243400,6,1,241880,2,1,210550,0.1622
1,1,243400,6,1,241880,2,2,251930,0.1858
1,1,243400,6,1,241880,2,3,223700,0.1482
1,1,243400,6,1,241880,3,1,110320,0.1070
1,1,243400,6,1,241880,3,2,122580,0.0829
1,1,243400,6,1,241880,3,3,112370,0.0965
1,1,243400,6,1,241880,4,1,222600,0.3446
1,1,243400,6,1,241880,4,2,267800,0.2513
1,1,243400,6,1,241880,4,3,271990,0.2393
1,1,243400,6,1,241880,5,1,130490,0.2937
1,1,243400,6,1,241880,5,2,188720,0.3431
1,1,243400,6,1,241880,5,3,185380,0.2640
1,1,243400,6,1,241880,6,1,241880,0.0962
1,1,243400,6,1,241880,6,2,164810,0.2014
1,1,243400,6,1,241880,6,3,266820,0.1733
1,1,243400,6,1,241880,7,1,269500,0.1814
1,1,243400,6,1,241880,7,2,278840,0.2142
1,1,243400,6,1,241880,7,3,274760,0.1896
1,1,243400,6,1,241880,8,1,170430,0.1606
1,1,243400,6,1,241880,8,2,89370,0.2858
1,1,243400,6,1,241880,8,3,142120,0.1699
1,1,243400,6,2,164810,1,1,243400,0.0178
1,1,243400,6,2,164810,1,2,223010,0.0808
1,1,243400,6,2,164810,1,3,181870,0.0907
1,1,243400,6,2,164810,2,1,210550,0.1425
1,1,243400,6,2,164810,2,2,251930,0.1495
1,1,243400,6,2,164810,2,3,223700,0.1402
1,1,243400,6,2,164810,3,1,110320,0.0922
1,1,243400,6,2,164810,3,2,122580,0.0618
1,1,243400,6,2,164810,3,3,112370,0.1058
1,1,243400,6,2,164810,4,1,222600,0.3311
1,1,243400,6,2,164810,4,2,267800,0.2528
1,1,243400,6,2,164810,4,3,271990,0.2797
1,1,243400,6,2,164810,5,1,130490,0.2685
1,1,243400,6,2,164810,5,2,188720,0.2820
1,1,243400,6,2,164810,5,3,185380,0.2405
1,1,243400,6,2,164810,6,1,241880,0.1007
1,1,243400,6,2,164810,6,2,164810,0.1123
1,1,243400,6,2,164810,6,3,266820,0.1292
1,1,243400,6,2,164810,7,1,269500,0.1918
1,1,243400,6,2,164810,7,2,278840,0.1734
1,1,243400,6,2,164810,7,3,274760,0.1850
1,1,243400,6,2,164810,8,1,170430,0.1707
1,1,243400,6,2,164810,8,2,89370,0.2160
1,1,243400,6,2,164810,8,3,142120,0.1494
1,1,243400,6,3,266820,1,1,243400,0.0000
1,1,243400,6,3,266820,1,2,223010,0.0732
1,1,243400,6,3,266820,1,3,181870,0.0813
1,1,243400,6,3,266820,2,1,210550,0.1457
1,1,243400,6,3,266820,2,2,251930,0.1317
1,1,243400,6,3,266820,2,3,223700,0.1459
1,1,243400,6,3,266820,3,1,110320,0.0992
1,1,243400,6,3,266820,3,2,122580,0.0747
1,1,243400,6,3,266820,3,3,112370,0.0699
1,1,243400,6,3,266820,4,1,222600,0.3370
1,1,243400,6,3,266820,4,2,267800,0.2554
1,1,243400,6,3,266820,4,3,271990,0.2434
1,1,243400,6,3,266820,5,1,130490,0.2867
1,1,243400,6,3,266820,5,2,188720,0.3104
1,1,243400,6,3,266820,5,3,185380,0.2753
1,1,243400,6,3,266820,6,1,241880,0.1215
1,1,243400,6,3,266820,6,2,164810,0.2014
1,1,243400,6,3,266820,6,3,266820,0.1465
1,1,243400,6,3,266820,7,1,269500,0.1916
1,1,243400,6,3,266820,7,2,278840,0.2062
1,1,243400,6,3,266820,7,3,274760,0.1741
1,1,243400,6,3,266820,8,1,170430,0.1482
1,1,243400,6,3,266820,8,2,89370,0.2628
1,1,243400,6,3,266820,8,3,142120,0.1617
1,1,243400,7,1,269500,1,1,243400,0.0000
1,1,243400,7,1,269500,1,2,223010,0.0732
1,1,243400,7,1,269500,1,3,181870,0.0880
1,1,243400,7,1,269500,2,1,210550,0.1302
1,1,243400,7,1,269500,2,2,251930,0.1506
1,1,243400,7,1,269500,2,3,223700,0.1556
1,1,243400,7,1,269500,3,1,110320,0.1010
1,1,243400,7,1,269500,3,2,122580,0.0702
1,1,243400,7,1,269500,3,3,112370,0.0936
1,1,243400,7,1,269500,4,1,222600,0.3297
1,1,243400,7,1,269500,4,2,267800,0.2449
1,1,243400,7,1,269500,4,3,271990,0.2273
1,1,243400,7,1,269500,5,1,130490,0.3154
1,1,243400,7,1,269500,5,2,188720,0.3156
1,1,243400,7,1,269500,5,3,185380,0.2817
1,1,243400,7,1,269500,6,1,241880,0.1508
1,1,243400,7,1,269500,6,2,164810,0.2483
1,1,243400,7,1,269500,6,3,266820,0.1761
1,1,243400,7,1,269500,7,1,269500,0.1484
1,1,243400,7,1,269500,7,2,278840,0.1948
1,1,243400,7,1,269500,7,3,274760,0.1923
1,1,243400,7,1,269500,8,1,170430,0.1567
1,1,243400,7,1,269500,8,2,89370,0.2532
1,1,243400,7,1,269500,8,3,142120,0.1833
1,1,243400,7,2,278840,1,1,243400,0.0000
1,1,243400,7,2,278840,1,2,223010,0.0704
1,1,243400,7,2,278840,1,3,181870,0.0791
1,1,243400,7,2,278840,2,1,210550,0.1455
1,1,243400,7,2,278840,2,2,251930,0.1490
1,1,243400,7,2,278840,2,3,223700,0.1670
1,1,243400,7,2,278840,3,1,110320,0.1090
1,1,243400,7,2,278840,3,2,122580,0.0801
1,1,243400,7,2,278840,3,3,112370,0.0976
1,1,243400,7,2,278840,4,1,222600,0.3292
1,1,243400,7,2,278840,4,2,267800,0.2454
1,1,243400,7,2,278840,4,3,271990,0.2209
1,1,243400,7,2,278840,5,1,130490,0.2913
1,1,243400,7,2,278840,5,2,188720,0.3224
1,1,243400,7,2,278840,5,3,185380,0.2674
1,1,243400,7,2,278840,6,1,241880,0.1569
1,1,243400,7,2,278840,6,2,164810,0.2308
1,1,243400,7,2,278840,6,3,266820,0.1825
1,1,243400,7,2,278840,7,1,269500,0.1698
1,1,243400,7,2,278840,7,2,278840,0.1607
1,1,243400,7,2,278840,7,3,274760,0.1974
1,1,243400,7,2,278840,8,1,170430,0.1579
1,1,243400,7,2,278840,8,2,89370,0.2471
1,1,243400,7,2,278840,8,3,142120,0.1568
1,1,243400,7,3,274760,1,1,243400,0.0050
1,1,243400,7,3,274760,1,2,223010,0.0929
1,1,243400,7,3,274760,1,3,181870,0.0981
1,1,243400,7,3,274760,2,1,210550,0.1620
1,1,243400,7,3,274760,2,2,251930,0.1445
1,1,243400,7,3,274760,2,3,223700,0.1496
1,1,243400,7,3,274760,3,1,110320,0.0943
1,1,243400,7,3,274760,3,2,122580,0.0843
1,1,243400,7,3,274760,3,3,112370,0.0763
1,1,243400,7,3,274760,4,1,222600,0.3373
1,1,243400,7,3,274760,4,2,267800,0.2568
1,1,243400,7,3,274760,4,3,271990,0.2487
1,1,243400,7,3,274760,5,1,130490,0.2773
1,1,243400,7,3,274760,5,2,188720,0.3145
1,1,243400,7,3,274760,5,3,185380,0.2615
1,1,243400,7,3,274760,6,1,241880,0.1026
1,1,243400,7,3,274760,6,2,164810,0.1857
1,1,243400,7,3,274760,6,3,266820,0.1784
1,1,243400,7,3,274760,7,1,269500,0.1892
1,1,243400,7,3,274760,7,2,278840,0.2156
